Type,ID,game_img_src,Firstly reported date,Recently reported date,bot_type_1
confirmed hacker,1820197830,https://bfban.com/assets/img/logo.6ffd12a1.png,2018-10-25 01:14:23,2021-07-27 23:18:32,Aimbot
confirmed hacker,1004328298184,https://bfban.com/assets/img/logo.6ffd12a1.png,2024-04-07 16:34:39,2024-04-11 18:58:48,Aimbot
